score;content
5;Tingkat keamanannya luar biasa. Good BSB.. mudah bertransaksi dlm genggaman...
5;Aplikasi yg sangat membantu, Dan ada sisi positif pada saat transaksi pake kode otp dan mpin untuk sistem keamanan yg terjamin, Apalagi marak terjadinya link2 maupun apk yang bisa membobol rek melalui mobile bangking. Semoga bisa ditingkatkan lagi
5;Terima kasih untuk mobile banking Bank sumselBabel, karena sudah sangat membantu untuk transaksi
5;Sangat membantu untuk transaksi
5;Saya sering pake utk transaksi beli gopay ... terasa sangat bermanfaat dan transakainya cepat. Tksh Bank sunsel babel atas layanan m bankingnya.
5;Bisa transaksi apapun untuk kebutuhan financial harian 👍👍👍👍
5;Good apps 👌🏻
5;skrg sudah ngk lemot lagi.. terus tingkatkan performanya BSB Mobile
1;Untuk aktivasi saja susah minta ampun.
5;Fitur transfer lebih mudah dan cepat dengan aplikasi ini
5;Sangat membantu
5;Aplikasi ini Sangat membantu saya dalam berbisnis
5;Mantap jaya
5;Aplikasinyaman dipakai, fiture pilihan banyak dan sangat membantu Saya untuk transaksi apapun seperti bayar tagihan telkomsel, topup gopay, transaksi qris, top up bsb cash, transfer sesama bsb atau bank lain dan masih banyak lg, yg pasti aman karena pakai otp sebagai pengamannya, terima kasih bank sumsel babel
5;Aplikasi sangat membantu
1;Disuruh aktivasi ulang, giliran selesai aktivasi ulang malah di blokir. Luar biasa
5;berguna dan bermanfaat
5;Mobile Banking Bank Sumsel Babel sangat membantu dan memudahkan setiap transaksi dimana pun dan kapan pun,sangat berguna sekali, terimakasih Bank Sumsel Babel 🥰
5;Dengan bsb mobile sangat terbantu dalam bertransaksi dengan kemudahan fitur didalamnya
5;simple dan mudah dipahami sehingga memudahkan dalam bertransaksi
5;Aplikasi ini sangat membantu dalam melakukan transaksi perbankan.
5;Sangat membantu dalam bertransaksi secara online
5;Sangat membantu dalam bertransaksi perbankan
5;Keamanan pada aplikasi ini sangat terjaminnn.....
5;Bertransaksi lebih mudah dengan menggunakan bank Sumsel Babel mobile banking
5;Aplikasi bank Sumsel Babel sangat berfungsi dengan baik dan keamanan pada aplikasi ini sangat aman terkendali
5;Sangat berguna saat melakukan transaksinya, dan tingkatkan lagi perkembangan mobile mbangking
5;Sangat membantu dalam transaksi perbankan dan memudahkan untuk melacak riwayat transaksi
5;Aplikasi Bank Sumsel Babel sangat baik dan sangat membantu transaksi dimana pun dan kapan pun
5;Aplikasi yang sangat bagus, karena menyediakan berbagai metode pembayaran dan sangat mudah digunakan...
5;Semoga Tetap trus berinovasi
5;aplikasi ini sangat cocok untuk berbagai kebutuhan perbankan
5;Wooow Aplikasi ini sangat user friendly! Keren
5;Memudahkan pembayaran PDAM
5;Sangat membantu dalam melakukan transaksi perbankan.
5;Sangat membantu & praktis
5;Menurut pengalaman saya aplikasi ini sangat membantu dan fiturnya semua mudah digunakan dan sangat bermanfaat , tidak perlu ribet ke ATM untuk transaksi yang simple
5;Aplikasi Membantu transaksi perbankan saya 👍
5;Sangat bermanfaat dan transaksi lancar
5;Andalan Sat Set Sat Set
5;Aplikasi lancar luncur...
5;Sangat bermanfaat 👍👍
5;Saya sangat familiar dgn aplikasi yg satu ini
5;Sangat bagus dan bermanfaat untuk bertransaksi
5;Sangat bermanfaat unt transaksi
5;Keren banget
5;Good.. sangat membantu dlm bertransaksi
5;Aplikasinya sangat support bagus membantu sekali untuk kelancaran operasional rekening di tabungan,
5;Memudahkan transaksi kami sehari-hari
5;Sangat baik dan bermanfaat, transaksi lebih mudah.
5;Aplikasi sangat membantu dan mempermudah transaksi perbankan saya.
5;Terus berinovasi
5;Semoga makin baik
5;Aplikasi ini sangat keren dan sangat membantu memudahkan transaksi kita kapan pun dan dimana pun ❤❤
5;Solusi perbankan mudah
5;Mantap
5;Sangat membantu transaksi online.. tanpa harus ke bank dan ke atm lagi ..maju terus BSB
5;Sangat bermanfaat dan terpercaya, terima kasih BSB mobile
5;layanan sngat baik n tdak sburuk yg di duga sblmny...
5;Membantu sekali
5;Aplikasi yang sangat membantu dan memudahkan dalam melakukan layanan perbankan
5;Bsb mobile 👍👍👍
5;Very good very well
5;Wow aplikasi yg sangat memudahkan untung bertansaksi nasabah...tingkatkan terus pelayanan terbaiknya.. Bsb pcak
5;Luar biasaaaaa..
5;Sangat mendukung karena perkembangan teknologi
5;Sangat membantu dan fiturnya lengkap
5;BSB PACAK
5;semoga semakin jaya buat bank sumsel babel👍👍
5;Aplikasinya oke punya dan smoga kedepannya selalu update terus dengan menambah fitur-fitur baru...
5;Sangat membantu mempermuda transaksi
5;Bsb mobile sangat praktis dan memberikan kemudahan dalam bertransaksi
5;Cukup membantu transaksi keuangan serta tingkatkan terus kualitas aplikasi agar dapat diakses dengan mudah dimanapun dan kapanpun
5;mbanking BSB memang oke banget#
5;Alhamdulilah transaksi jadi lebih mudah semenjak ada bsb mobile 🙏🏻
5;Wah gila keren bgt. Super praktis. Bisa dipake 24jam. Emejingggg bgt. Oke lh bank sumselbabel. Mantaapppp
5;Aplikasi dapat di gunakan dgn baik
5;Aplikasi ini sangat membantu saya dalam bertransaksi..
5;Sangat membantu sekali pada saat saat urgent khususnya d malam hari krn bisa bertransaksi memakai jari dan lebih mudah melakukan pembayaran dgn mengunakan qris, top BGT
5;Sangat membantu saya dalam bertransaksi.
5;Aplikasi yg mempermudah nasabah bertransaksi
1;Aplikasinya enggk banget.fiturnya enggk maju maju..klok udah lama enggk di bukak pasti di suruh aktivasi ulang terus.tapi setelah di aktivasi malah di blokir akun aku..udah malu rasanya ke bank untuk memperbaiki akun bsb kembali
5;Alhmdulillah transaksinya lancar, sangat memudahkan..😍
5;Terimakasih sudah ada APK BSB MOBILE transaksi jadi lebih mudah. Terimakasih bank sumselbabel
5;Sangat membantu dan mempermudah bertrasaksi ..
5;BSB MOBILE BANKING IS THE BEST
5;Bsb mobile sangat membantu dan memudahkan kami untuk berteransaksi
5;aplikasinya sangat mudah digunakan, bs transaksi dimanapun dan kapanpun
5;Terimakasi Bsb mobile,,sangat membantu saya untuk melakukan transaksi dari rumah..bank Sumsel Babel memang ok..👍
5;Mantapp, bisa cek mutasi saldo real time☺️👍
5;Aplikasi yg sangat membantu dan mempermudah transaksi
5;Transaksi jd lebih mudah dan cepat
5;Sangat Membantu
5;Mantap
5;Penggunaan aplikasi sangat mudah dan fitur² didalamnya sdh lengkap jd gampang untuk melakukan transaksi
5;Aplikasi keuangan lengkap untuk semua kebutuhan 👍👍
5;Ok
5;Bermanfaat dan membantu
5;Aplikasinya sangat membantu
5;Sangat membantu. Bsb Pacak.
5;dengan adanya mobile banking bank sumsel babel memudahkan nasabah dalam bertransaksi tanpa harus menghabiskan banyak waktu, bertransaksi dengan mobile banking bank sumsel babel transaksi tiada batas dengan fitur yang canggih dan lebih mudah dipahami sesuai dengan kebutuhan nasabah di era digital banking, cukup dengan satu sentuhan transaksi lebih aman dannyaman
5;Sangat mudah digunakan dan mudah untuk transaksi 24 jam
5;Aplikasi yg mempermudah transaksi...
5;Sangat membantu dan mudah digunakan
5;sangat membantu dan mudah digunakan
5;Sangat membantu dalam bertransaksi untuk kami yg berada di pelosok daerah
1;apkliasi yang gak berguna masa saya mau aktivasi mala data tidak di temukan mohon pihak developer di perbaikii ini aplikasi
5;Bagus aplikasinya
5;Aplikasi sangat membantu dan mudah di gunakan
5;🫰🫰
5;Aplikasinya mantap
5;Aplikasi mantab mudah di gunakan
5;Aplikasi sangat mendukung dan mudah
5;Sangat Membantu
5;Mbanking bang sumsel oke sekali. Enak nian pake nyo. Lemak lancar. Mudah cek gaji masuk. Bayar tagihan jugo lemak mudah nian. Biso pake 24 jam. Mbanking praktis yg paling oke lah.
5;Suka sekali pakai m-banking ini
5;Aplikasi mudah digunakan, aman dannyaman dalam bertransaksi 👍👍👍
5;"Fitur""nya mudah digunakan, sangat bermanfaat dan menjadikan transaksi perbankan lebih simple."
5;Sdh semakin memudah kan transaksi, bisa pembayaran qris, pdam, top up go pay dll dimana saja kapan saja. Semoga semakin terus bertambah canggih 💪💪💪
5;Mantap
5;Bsb sangat memuaskan
5;Sangat memuaskan bertransaksi dengan M-Banking Bank Sumsel Babel
5;Bsb mobile keren..
5;Bank Daerah berbasis Layanan Digital
5;Aplikasi ini memudahkan dalam transaksi keuangan dimana pun saja.
5;Aplikasi yang sangat memudahkan Nasabah. Tidak perlu antri ke Bank unk transfer dan lain-lain. Sangat membantu 👍
5;Mantapp
5;Aplikasi M-Banking yang sangat membantu dalam mendukung transaksi mobile saya sehari-hari
5;Sangat membantu, transaksi dalam genggaman
5;Aplikasi yg memudahkan, mantab👍
5;Sangat membantu dan mudah digunakan
5;Memudahkan trnsksi dimana sja n kapan saja
5;Bagus layanannya memuaskan
5;Sangat membantu
5;Sangat mudah digunakan bagi org awam
5;Sejak awal menggunakan mobile sampai sekarang tidak pernah ada kendala
5;Mudah dalam penggunaan aplikasinya
5;Aplikasi sangat membantu untuk permudah transaksi
5;Aplikasi membantu bertransaksi lebih mudah dan aman
5;Sangat mudah digunakan, anti lemot, mantapp M-Banking Bank Sumsel Babel 👌
5;Oks bgt. Memudahkan dalam bertransaksi❤️
5;User friendly dan keamanan ganda OTP dan PIN
5;Bagi kami aplikasi bank sumsel babel sangat membantu sekali utk transaksi tidak hanya di dalam negeri namun jg saat kami pergi haji ke tanah suci masih bisa bertransaksi menggunakan MB BSB
5;Aplikasinya sangat membantu,, memberikan kemudahan dalam bertransaksi setiap hari...
5;Aplikasi mudah dipakai, praktis dan memiliki fitur keamanan yang memadai
1;Harus banyak perbaikan untuk aplikasi, mau login di suruh aktivasi dulu. Mau di aktivasi tapi pelayanan tidak tersedia. Kalo udah gini harus ke bank lagi, ada m-banking bukannya mempermudah malah di suruh sering ke bank.
5;👍👍👍👍👍
5;Berguna sekali aplikasi BSB Mobile ini, penggunaannya pun sangat mudah.
5;Mempermudh trnasaksi nasabh
5;Sangat membantu semua transaksi
5;Sangat bagus skli dan memudahkan segala transaksi
4;Maksimalkan lagi untuk aplikasi mbankingnya
1;Baru mau di buka semua data udah bener malah di suru aktivasi lagi sudah di lakukan malah di blokir dibilang data tidak di temukan 😂tolong lah Sumsel perbaiki lagi aplikasinya🙏
1;Aplikasi masih ketinggalan, sangat lambat dengan Apdate aplikasi terbaru..
1;Updaye lagi, update lagi, tiap bulan update, ujung2ny user ke blokir. Ke bank lagi aktivasi lagi, dan seterusnya sepanjang waktu... Sepertiny cari yang meRAKYAT aja lah
1;"Apasih dikit"" Aktivasi ulang, padahal gak di apai""n."
1;nemen errorr, aktivasi ulang gagal...
1;"Terlalu banyak bug, login aja susah bener"" Bikin kesel"
5;Kenapa setiap masuk harus aktifasi dulu, kadang gak bawa ATM atau buku tabungan jadi memperlambat transaksi mimin. . . .tolong diperbaiki
1;Harus punya rating brp sih biar nih aplikasi ilang?, Sekelas bank swasta harusnya bisa menyaingi bank negeri. Tim ITnya direkrut pake orang dalam ato gimana nih?
5;Sangat membantu
4;Ok
1;Gabisa buat tf...
1;Kenapa sekarang ga bisa login dengan tulisan jaringan anda bermasalah sedangkan speed koneksi untuk download aja sampe 10mb/s
1;Aplikasi ini saya gunakan utk transfer gaji ke bank lain, Disaat bank lain memperbaiki dan menambah fitur2 yang mempermudah nasabah dalam melakukan transaksi, bank sumsel malah tertinggal jauh, mau daftar rek baru saja pake kode otp,banyak bugs, sering error utk transaksi pembayaran belum lengkap, utk bayar PLN belum bisa, padahal seluruh gaji PNS ada di bank sumsel tp buat aplikasi saja tidak mampu
4;Terlalu sering aktivasi ulang, namun saat akan aktivasi malah tidak bisa aktivasi ulang
5;Toppppppp
1;Ini gunanya apk apa ya, ya kali bentar² trouble dan berkali² harus minta aktivasi ulang lagi, padahal juga saat mau login ga ada kesalahan. Mana menunya ga ada update pula. Dari sekian apk mobile banking yg saya pakai hanya BSB Mobile ini yg ga paling jelek. Jadi males pakai Bank Sumsel, zaman udah canggih buat APK sekelas mobile banking macam sinyal msh 3g.
1;Aplikasinya buruk, barusan minggu kemarin aktivasi ulang ke bank diminta materai 10rb. Skrg harus aktivasi ulang lagi, pas dpat kode otp malah user tidak dikenali dan diblokir. Padahal masih dgn hp yg sama kartu yg sama. Masa sebulan harus berapa kali ke bank, ke banknya aja makan waktu ditambah harus materai tiap kali aktivasi ulang. Gila banget, terakhir terblokir gak akan gua urus lagi biarin ga usah pake bsb. Bye bsb
1;Sudah beberapa kali waktu saya coba transfer saldo sudah keDebet tpi trasferannya gak sampe, dan barusan saya ngisi pulsa melalui banking saldo udah kedebet tpi pulsa gak masuk
1;MAU LOGIN AJA SUSAH AMAT
5;Good
2;kenapa kotak transfer tidak muncul ya
1;Waduh gimna nih team itnya, dunia penuh kemajuan kok gini amat
1;Pelayanan bank di tulung selapan oki sangat lah kurang, karna yang ngelayani CSnya cuma 1 jadi ngantri hya lama, begitu juga dgn tellernya cuma 1, padahal dulu 2, kenapa harus di kurangi, kasian org ngantri lama
1;Aplikasi lagi-lagi minta aktivasi ulang terus. Dan harus ke kantor bank kalo mau aktivasi ulang. Harus siapkan Materai 10000 pula. Yang salah dari aplikasinya kok kita yang tanggung ya. Harusnyakan dilayanin aja gak perlu pakai materai segala.🙏
5;Bagus bank Sumsel nomor satu
1;Login macet, di betulin lah aplikasinya. Jangan bonus mulu pegawainya pelayanan butut. gknyaman pakai apliksi ini
1;aplikasi nggak beres masak selalu logout sendiri.saya baru 2 hari lalu dari cs bank ..malah udah aktipasi tidak tersedia lagi
1;Masalah koneksi internet padahal wifi bagus,koneksi jaringan oke, mendingan pindah ke livin atau bca mobile, nggak usah buat apk mobile banking kalo tidak bisa
1;Gak usah di downlod ini aplikasi penipu
1;Aktivasi selalu bermasalah.. dikit dikit harus ke bank harus aktivasi
1;Kenapa ini Aplikasi, Setiap pembelian vocher pulsa apa saja selalu saldo berkurang, pulsa tidak pernah masuk. Hapus aja APK ini kalau gak berguna.
1;apa ini tiba2 akunnya keluar sendiri harus aktivasi lgi, sdh dapat kode verif tpi di bilangnya aktifitas tidak di ketahui,
2;Saya kecewa dengan aplikasi ini, sering minta aktifasi ulang, begitu sudah aktifasi user diblokir, katanya perangkat tidak dikenali. Kalau dekat dengan bank sih tidak masalah, kalau jauh bagaimana? Tolong dong diutamakan kepuasan nasabah.
1;Setiap login disuru aktivasi ulang, setalah aktivasi ulang malah aktivasi tidak tersedia. Payah pengembang BSB mobile. Tolong segera di perbaiki
1;Waduh gawat aplikasi ini saya membeli pulsa gagal tpi kok malah di potong saldo saya
1;barusan sayang ingin membeli pulsa, tapi malah terblokir dikarenakan kode otp atau sandi m-pin salah, padahal sandi dan kode mpin sudah sesuai, tolong di benahkan aplikasinya. saya juga sering membeli pulsa tapi tidak masuk karena kendala jaringan, yang menjadi masalah adalah saldo saya tetap berkurang sesuai dengan pulsa yang ingin saya beli, namun pulsanya tidak masuk.
1;Jaringan bagus bsb mobile keblokir,apa masalahnya?
1;Tidak bisa login, perlu aktivasi, akhirnya terblokir. Gak ngotak. Tim IT sepertinya tidak bisa memberikan pelayanan yang memuaskan.
1;Seringkali apk minta aktivasi ulang. Harus nemuin cs terus menerus bukannya adanya mbanking dipermudah malah ribet👎
1;aplikasi belum siap jangan di publish lah.
2;Bru 2mnggu d aktvsi ke cabang bank trdekat eh udah aktvsi ulang .. Sdh d aktvsi ulang sms udah masuk malah d blokir .. Capek deh mohon d perbaiki
1;Aktivasi ulang, pulsa ada internet ada.data tidak ditemukan.susah banget mau aktivasi ulang ajah harus direpotkan . Diperbaiki lagi biar bisa bersaing dengan yg lain.klo bukan krn bukan masuk gaji ogah makek ini
5;Alhamdulilah. Apk yg bagus dan ber manfaat
3;Kenapa udah beberapa hari ini aplikasi sumsel babel tidak bisa di aktivasi selalu gagal padahal sebelumnya lancar² aja tolong dong solusinya.🙏🙏
1;Tidak bisa login,
5;Bagus
1;saya heran dengan Aplikasinya, setiap kali mau diakses selalu minta Aktivasi, bilangnya user tidak dikenali akhirnya diblokir🤦‍♀️,woooyyy HP w masih Samaa, No.Hp w masih tertanam di Hp yang samaa, team ITnya parah amat.🤦‍♀️ w ga bisa akses Mbanking ini. call center ngabisin pulsa doank, ga ada yang bisa dihubungi.
1;tolong apilkasinya di hapus saja tidak ada gunanya palikasi ini, eror trus
1;Sudah 3x bayar KAI pakai qris sumsel, tampilannya eror, saldo tetap berkurang tapi pesanan tiket tidak lunas. Hampir 350rb hangus aja uangnya
2;Tolong diperbaiki lagi, untuk kode otp kenapa gak muncul2 padahal sudah lama nunggu bahkan diulang masoh jga belum bisa, kan jadi menghambat transaksi
5;Alhamdulillah berkat ada bsb sumsel. Babel. Bisa lebih mudah transaksinya
1;Sinyal lancar TPI GK bisa top up gopay
1;Dikit² ngebug saldo hilang semua anj²
2;Aplikasi sering sekali bug, pas ingin login susah amatt, sering sekali bugg, aksesnya lambat, untuk menu2nya sangat terbatasss. Tolong diperbaiki lagi.
1;Login bermasalah.. Di suruh aktivasi kok malah aktivasi tidak tersedia.. Ujung2nya kena blokir.. Parah bener nih bank
5;terbaik
1;Tolong perbaiki sistemnya. Ganti kartu aplikasi terblokir dan buka blokir harus ke kantor tidak bisa online. Sangat menyusahkan untuk yang tinggal jauh dari bank. Inikan aplikasi online harusnya bisa aktivasi via online tidak melulu kekantor.
1;#APLIKASI EROR
1;Untuk pihak developer tolong di perbaiki lagi aplikasinya, mau masuk malah di suruh aktivasi ulang,ujung ujungnya di blokir, jadi harus bolak balik ke bank lagi,
1;Kenapa saya ga bisa masuk masuk,,padahal syarat udah semua
1;Mending ganti bank sekalian, uang yang hilang tidak akan dikembalikan oleh mereka walaupun uang itu hanya sedikit. Pikirkan lagi sebelum hal itu terjadi kepada kalian
1;Banyak sekali bug, tiap buka harus aktivasi ulang, padahal sms kode verifikasi sudah masuk tapi di aplikasi data tidak ditemukan. Bkin capek aj.
1;Untuk sekelas bank yg menurut kami punya kredibilitas, ini sih lucu. Ketika aplikasi mobile banking bank lain udah bisa sana-sini, login dan akses stabil, menu2 dalam aplikasi sangat memudahkan, lah ini masih bugs..bugs..bugs.., perkara soal login aja susah amat.
1;"Paling ribet, m.banking bank lain gk ad lo yg aktivasi"" ulang. Lah ini bentar"" aktivasi ulang. Siang diaktivasi ulang dicek bisa, sorenya udh gj bisa lagi"
5;Terimakasih cukup membantu melakukan transaksi
1;Kenapa tiba tiba terblokir. Inilah alasan saya jadi mau ganti bank .
1;Tolong ya di perbaiki lagi apk ininya biar waktu login ga susah
1;Aplikasinya lemot kalau mau transaksi pengiriman no otpnya lama dan kalau ada salah langsung teblokir
1;Aplikasi selalu gangguan, ngirimkode OTP tdk masuk²
5;Sangat memuaskan pelayananya
1;Dikit dikit ke blokir udh it disuruh registrasi ulang ke bank terus
1;Aplikasinya gak jelas, suka ngeblokir sendiri. Tiap mau kirim selalu munta aktivasi udah ngikutin arahan tetap aja gabisa keterangan aktivasi tidak tersedia padahl nomor udah bener!
1;Gak jelas bat transfer error tapi saldo ke potong, dh 2x kejadian gini pertama di ATMnya sekarang di m-bankingnya, mending ada kompensasi ini kagak sama sekali, gimana dh yg ngawasin app ini gak ada tanggung jawab sama sekali
1;Login susah Minta aktivitasi ulang terus emng .masukin Akun aj susah
1;Parah si mau aktivasi ulang malah ke blok
2;Setiap mau login selalu reg dulu baru bisa login
1;Transaksi gagal katanya salah pin, padahal udh bener.. Ujung²nya diblokir.. Nelpon contact center abis pulsa banyak masih gak ada layanan, alasan sedang melayani pelanggan lain.. Email ke cs suruh datang ke cabang.. Yg dekat okelahh, saya ini perlu 4 jam kalo mau ke cabang🤦🤦
1;Apk y skrg knpa sering tidak bisa sejak apk y di perbarui
1;Tolong di perbaiki bosss, aplikasinya, gak guna banget susah masuk, lelet juga....
1;Terlalu sering minta aktivasi ulang terus. Mau login keterangannya silahkan aktivasi ulang. Di aktivasi ulang malah keterangannya tidak ada aktivasi. Di registrasi keterangannya sudah terdaftar. Jadi ini maunya apa??? suka blokir sendiri tanpa sebab, padahal dengan nomor dan HP yang sama.
1;Sudah diperbarui tapi tidak bisa aktivasi dan sudah daftar ulang mbanking ke kantor bank masih tidak bisa. Masak baru daftar bisa dibuka beberapa menit kemudian muncul tulisan akun anda diblokir. Jadi gimana ini...
1;minta tolong jaringannya di perbaiki.. akun ku di blokir gara² jaringan
1;Ini kenapa ya apk ny kok id tidak ditemukan. Padahal id ny sama seperti awal daftar. Sangat tidak bermanfaat ini aplikasi.
1;Tolong untuk aplikasi mobile ini diperbaiki masa ketinggalan jauh sama aplikasi bank mobile lainnya. Disuruh masukkan no rek, tapi udah dimasukin malah gak bisa. Aneh...
3;Smoga segera bisa pake sidik jari. Dn Mohon Kepada tim it dn pihak bank agar kritik dn saran dr pengguna dpt di pertimbangkan. Demi kenyamanan bersama. Terimakasih
4;Pelayanannya bagus
2;Kebanyakan aktivasi terus setiap login selalu gagal tolong segara di perbaiki
1;Aplikasi ini sering gangguan, kalo gaji kalian masuk ke BSB, Mending jangan pakai aplikasi ini, langsung TF dari ATM aja, atau tarik seluruhnya pindahkan ke bank lain. Saya pakai aplikasi ini merasa sangat dirugikan. Ketika pakai aplikasi ini, uang yang gagal transfer sangat lama dikembalikan, fitur tidak lengkap dan sangat terbatas, termasuk transfer antar bank BSB saja dikenakan biaya Rp1.000. Bahkan call center pun sangat terbatas, sering menolak panggilan karena penuh
1;Apk dk jelas tiba2 gak bisa di bukak di suruh aktivasi setelah aktivasi, gagal aktivasi tidak tersedia pahal sudah sesuai no rek
1;Lemotttt..
1;Setiap mau login pasti nasabah tidak ditemukan tolong aneh banget ni aplikasi
4;Zex nxxx indonesia
2;Harus mampu bersaing.. minimal jangan terlalu jauh gap dengan perbankan lainnya.. Tingkatkan pelayanan baik offline maupun pelayanan online..
1;Aplikasi kacau, sering ke blokir dan kacau... Tetiba sim card ga tebaca lah, ribett beber
4;Bagus
1;Sudah banyak feedback negatif, kapan lagi mau berbenah, era serba digital namun menyulitkan nasabah dalam bertransaksi, banyak terkendala pada aktivasi akun yg berujung harus reset akun dikantor cabang serta proses transaksi yg ribet
1;Kenapa sih aktivasi terus? Sudah aktivasi malah nomor katanya salah, saya gak pernha ganti nomor, trus knp kudu aktivasi, tolonglah d perbaiki
1;Terlalu sering aktifasi dan data sering eror saat aktifasi. Saat transaksi koneksi sering terputus tiba-tiba.
4;Mntap
1;Ini kenapa suka minta aktivasi ulang sih, tiba-tiba terblokir 😡
5;cepat dan praktis dalam bertransaksi
5;Transaksi sangat mudah
5;Good
1;App bank mobile terburuk yang pernah ada di indonesia,,
5;Saya suka
5;Untuk pengalaman transaksi sangat baik, kalau bisa untuk transaksi pembelian disertakan juga pembelian token listrik👍👍
3;Tiap bulan slalu harus update
1;App -
1;Narik uang error ga keluar duitnya tapi di saldo ngurang emg bank kontol
1;Mbanking paling menyedihkan,sering memblokir memblokir,padahal nggak ada kesalahan
3;Ribet.. Mau transfer saja harus bolak balik cek SMS dan dikenakan biaya SMS. Mohon diperbaiki
4;Oke, keren
1;Selalu kalau login mintanya ubdate 😌😂
4;Perlu ditingkatkan lagi .....
1;Mohon untuk pengguna, jangan Menggunakan Qris untuk pembayaran, jika transaksi anda gagal saldo kita tetap berkurang sesuai nominal yg akan di bayar. Setelah di konfirmasih pihak bank tidak bertanggung jawab.! 8jt ludes..! Hapus aplikasihnya. Sampah.! Enakan BCA/MANDIRI/BRI,.! saldo tidak berkurang meski transaksi gagal.
5;Good
5;tolong untuk transaksi transfer di permudah
2;Aplikasi perbankan super lemot, apalagi kalau diwaktu malam, lihat transaksi masuk atau keluar gak bisa, tolong tim ITnya diperbaiki app.. Ketinggalan jauh dengan bank lain
1;Gila ini saya TF saldo berkurang tapi transferan gak masuk dasar penipu
5;Terimakasih
1;TOLONG DI PERBAIKI MASAK TIAP KALI BUKAK APLIKASI DI SURUH AKTIVASI DAN DI BLOKIR
1;Tolong ditingkatkan lagi masa mau login minta aktivasi ulang terus malah keblokir ga bisa minta aktivasi ulang cape bgt harus ke bank dulu ngurusin ini aja bolak balik tolong di Tingkatkan lagi
5;Saran di tambah kan fitur sign in biometrik sidik jari mempermudah akses untuk logi in.
5;Oke banget
3;Jaringan m banking sering lelet saat transaksi
4;Hari ini dapat update app, semoga dengan update ini semua keluhan akan teratasi dan tidak ada kendala lagi.
4;Tingkatkan lagi kualitas layanannya BSB
4;Mnta update terus. Minggu kemarin sdh di update. Ini mnta update lg 😭
5;Praktis dan aman
1;sering eror, apk belum siap sudah dirilis
1;Aplikasi aneh, sinyal kuat pakai wifi pula masih dibilang tidak ada koneksi..
1;Aplikasinya sangat jelek
1;Habis diupdate tidak bisa dibuka.. Disuruh aktivasi ulang, pas diaktivasi malah error.. Jd gak bisa digunakan aplikasinya.. Sangat tidaknyaman, meresahkan dan mengganggu.
1;Payah.......yg aktifasi ulang...yg ke blokir....😇😇😇😇😇
1;parah separah parahnya..setiap mau log in hrs aktivasi ulang, trs sdh aktivsi malh di blokir dn pengurusannya hrus ke bank plys biaya meterai lg 10rb, kenapa gaji hrs melalui bank ini..padahal banyak bank lain yg lbh kompeten dan terjamin..seumur umur baru bank ini yg tranfer sesama bank sumsel.msh kena biaya..matrenya kelewat terpaksa aja pk bank ini krn gaji kalau g lbh pilih bank lain aja deh
2;Tlg aplikasi ini di cek ulang baru saja isi pembelian pulsa kok gak masuk. Dg kode pembayaran tidak diketahui. Dan saldo secara otomatis berkurang. Tlg dong admin ini merugikan nasabah bank Sumsel Babel.
1;Tolong diperbaiki lagi untuk aplikasinya
1;Aplikasi dak jelas. Sudah aktivasi malah user tidak di kenal terus di Blokir ANEHH!!! mohon di perbaiki lagi aplikasinya.
1;Kecewa aku sama aplikasi bsb ini 😭 aku beli paket pulsa 75rb namun error katanya setelah aku cek saldo aku berkurang dan pulsa pun gak masuk, gimana ini tolong beri solusi gimana ngebaliin saldo aku udah 3 kali loh aku beli paket pulsa 75rb namun error trus dan kalau di hitung hitung aku hilang uang 225 lebih😔🙏 mohon maaf aku kecewa banget sama aplikasi ini padahal aku tiap bulan tranfer uang tapi malah gak ada tanggung jawab seenaknya uang aku hilang kayak gini Sumpah aku gak ikhlas 😔😔
1;Kenapa bahasanya bahasa inggris, kami orang indonesia, di ganti bahasa indonesia jg gak bisa
3;Pendaftaran mobile bankingnya belum bisa langsung dari android, harus dilakukan melalui cs ke bank. Jauh ketinggalan dari bank lain
1;Disuruh aktivasi lagi, mau aktivasi tertera aktivasi tidak tersedia, meribetkan
2;Transaksi selalu lambat merespon. Transaksi hari ini, besok baru keluar OTP.
1;Server lag mau login susah bener
1;"Kenapa aktivasi tidak tersedia dan keblokir? Pdhl ga ngapa"" in"
2;Entahlah, tolong diperbaiki .. sering mntk aktivasi ketika di aktivasi malah tidak tersedia terus🥲ujung2 kita mau pakai untuk transaksi tidak bisa😔 tfr pun memakan waktuu 😌
1;Aplikasi apaan ini.. mau log in gk bs, malah nasabah tidak ditemukan.. dasar aplikasi katrok
2;Saat mau di gunakan sering eror.. (keterangan tidak ada internt) pdhal buka aplikasi lain lancar jaya. Perbaiki lagi... !!!
1;Coba buat aplikasinya yang bener
1;Selalu minta registrasi ulang setiap bulan,sudah di registrasi malah di blokir,harus ke bank untuk membuka blokiran mbanking
1;Setiap ingin masuk selalu ganggu,walaupun sinyal bagus sekali pun.tolong perbaikanya
2;Waduh..gimana ini, mau hari ini mau isi pulsa, selalu muncul :154 rekening sumber tidak diizinkan transaksi.
1;Tolong tingkatkan lagi pelayanan m-bankingnya soalnya tiap mau TF pasti ngangguan 🤦 perasaan kalau bank lain aman2 aja kalau mau transfer 🙏
1;Woyyylahhh... waktu login nyuruh aktivasi ulang... pas aktivasi malah d blok... aplikasi sarap
4;Ok
1;Aktivasi gagal terus user diblokir???
1;Aplikasi tak berguna.
