,score,content,case_folding,clean,filtering,tokenize,stopword,stemmer,normalizing
141,1,Sering eror,sering eror,sering eror,sering eror,"['sering', 'eror']","['sering', 'eror']","['sering', 'eror']",sering eror
142,5,Oke,oke,oke,oke,['oke'],['oke'],['oke'],oke
143,1,Eror mulu 👎,eror mulu 👎,eror mulu,eror mulu,"['eror', 'mulu']","['eror', 'mulu']","['eror', 'mulu']",eror mulu
144,1,"Ribet bet anying, aktivasi ulang terus, mana mau aktivasi ulang masa ke banknya dulu","ribet bet anying, aktivasi ulang terus, mana mau aktivasi ulang masa ke banknya dulu",ribet bet anying  aktivasi ulang terus  mana mau aktivasi ulang masa ke banknya dulu,ribet bet anying  aktivasi ulang terus  mana mau aktivasi ulang masa ke banknya dulu,"['ribet', 'bet', 'anying', 'aktivasi', 'ulang', 'terus', 'mana', 'mau', 'aktivasi', 'ulang', 'masa', 'ke', 'banknya', 'dulu']","['ribet', 'bet', 'anying', 'aktivasi', 'ulang', 'terus', 'mana', 'mau', 'aktivasi', 'ulang', 'masa', '', 'banknya', 'dulu']","['ribet', 'bet', 'anying', 'aktivasi', 'ulang', 'terus', 'mana', 'mau', 'aktivasi', 'ulang', 'masa', '', 'bank', 'dulu']",ribet bet anying aktivasi ulang terus mana mau aktivasi ulang masa  bank dulu
145,1,"lenyap sudah 200 ribuku waktu tf td, tp sttus eror, saldo ku berkurang, uangnya ga masuk di tf, astagfirullah ya allah😭","lenyap sudah 200 ribuku waktu tf td, tp sttus eror, saldo ku berkurang, uangnya ga masuk di tf, astagfirullah ya allah😭",lenyap sudah   ribuku waktu tf td  tp sttus eror  saldo ku berkurang  uangnya ga masuk di tf  astagfirullah ya allah,lenyap sudah   ribuku waktu tf td  tp sttus eror  saldo ku berkurang  uangnya ga masuk di tf  astagfirullah ya allah,"['lenyap', 'sudah', 'ribuku', 'waktu', 'tf', 'td', 'tp', 'sttus', 'eror', 'saldo', 'ku', 'berkurang', 'uangnya', 'ga', 'masuk', 'di', 'tf', 'astagfirullah', 'ya', 'allah']","['lenyap', '', 'ribuku', 'waktu', 'tf', 'td', 'tp', 'sttus', 'eror', 'saldo', 'ku', 'berkurang', 'uangnya', 'ga', 'masuk', '', 'tf', 'astagfirullah', '', 'allah']","['lenyap', '', 'ribu', 'waktu', 'tf', 'td', 'tp', 'sttus', 'eror', 'saldo', 'ku', 'kurang', 'uang', 'ga', 'masuk', '', 'tf', 'astagfirullah', '', 'allah']",lenyap  ribu waktu transfer td tapi sttus eror saldo ku kurang uang tidak masuk  transfer astagfirullah  allah
146,1,"baru satu minggu yang lalu ke cs buat aktivasi ulang, padahal sudah lama dibuat mbanking, masa harus aktivasi ulang lagi","baru satu minggu yang lalu ke cs buat aktivasi ulang, padahal sudah lama dibuat mbanking, masa harus aktivasi ulang lagi",baru satu minggu yang lalu ke cs buat aktivasi ulang  padahal sudah lama dibuat mbanking  masa harus aktivasi ulang lagi,baru satu minggu yang lalu ke cs buat aktivasi ulang  padahal sudah lama dibuat mbanking  masa harus aktivasi ulang lagi,"['baru', 'satu', 'minggu', 'yang', 'lalu', 'ke', 'cs', 'buat', 'aktivasi', 'ulang', 'padahal', 'sudah', 'lama', 'dibuat', 'mbanking', 'masa', 'harus', 'aktivasi', 'ulang', 'lagi']","['baru', 'satu', 'minggu', '', 'lalu', '', 'cs', 'buat', 'aktivasi', 'ulang', 'padahal', '', 'lama', 'dibuat', 'mbanking', 'masa', '', 'aktivasi', 'ulang', '']","['baru', 'satu', 'minggu', '', 'lalu', '', 'cs', 'buat', 'aktivasi', 'ulang', 'padahal', '', 'lama', 'buat', 'mbanking', 'masa', '', 'aktivasi', 'ulang', '']",baru satu minggu  lalu  c buat aktivasi ulang padahal  lama buat mbanking masa  aktivasi ulang 
147,4,Kenapa selalu minta aktivasi terus,kenapa selalu minta aktivasi terus,kenapa selalu minta aktivasi terus,kenapa selalu minta aktivasi terus,"['kenapa', 'selalu', 'minta', 'aktivasi', 'terus']","['', 'selalu', 'minta', 'aktivasi', 'terus']","['', 'selalu', 'minta', 'aktivasi', 'terus']", selalu minta aktivasi terus
148,1,Ini kok bisa eror gini isi pulsa lewat m-banking sumsel pulsa nggak masuk tapi saldo berkurang 🤦 tolong lah perbaiki terus ini saldonya bakalan kembali atau pulsanya yang masuk? + Ini kok ke blokir sendiri ya 🤦 sudahlah M-bangkingnya ke blokir ATMnya nggak ada 🥲,ini kok bisa eror gini isi pulsa lewat m-banking sumsel pulsa nggak masuk tapi saldo berkurang 🤦 tolong lah perbaiki terus ini saldonya bakalan kembali atau pulsanya yang masuk? + ini kok ke blokir sendiri ya 🤦 sudahlah m-bangkingnya ke blokir atmnya nggak ada 🥲,ini kok bisa eror gini isi pulsa lewat   banking sumsel pulsa nggak masuk tapi saldo berkurang   tolong lah perbaiki terus ini saldonya bakalan kembali atau pulsanya yang masuk    ini kok ke blokir sendiri ya   sudahlah   bangkingnya ke blokir atmnya nggak ada,ini kok bisa eror gini isi pulsa lewat   banking sumsel pulsa nggak masuk tapi saldo berkurang   tolong lah perbaiki terus ini saldonya bakalan kembali atau pulsanya yang masuk    ini kok ke blokir sendiri ya   sudahlah   bangkingnya ke blokir atmnya nggak ada,"['ini', 'kok', 'bisa', 'eror', 'gini', 'isi', 'pulsa', 'lewat', 'banking', 'sumsel', 'pulsa', 'nggak', 'masuk', 'tapi', 'saldo', 'berkurang', 'tolong', 'lah', 'perbaiki', 'terus', 'ini', 'saldonya', 'bakalan', 'kembali', 'atau', 'pulsanya', 'yang', 'masuk', 'ini', 'kok', 'ke', 'blokir', 'sendiri', 'ya', 'sudahlah', 'bangkingnya', 'ke', 'blokir', 'atmnya', 'nggak', 'ada']","['', 'kok', '', 'eror', 'gini', 'isi', 'pulsa', 'lewat', 'banking', 'sumsel', 'pulsa', '', 'masuk', '', 'saldo', 'berkurang', '', 'lah', 'perbaiki', 'terus', '', 'saldonya', 'bakalan', '', '', 'pulsanya', '', 'masuk', '', 'kok', '', 'blokir', 'sendiri', '', 'sudahlah', 'bangkingnya', '', 'blokir', 'atmnya', '', '']","['', 'kok', '', 'eror', 'gin', 'isi', 'pulsa', 'lewat', 'banking', 'sumsel', 'pulsa', '', 'masuk', '', 'saldo', 'kurang', '', 'lah', 'baik', 'terus', '', 'saldo', 'bakal', '', '', 'pulsa', '', 'masuk', '', 'kok', '', 'blokir', 'sendiri', '', 'sudah', 'bangking', '', 'blokir', 'atmnya', '', '']", kok  eror gin isi pulsa lewat banking sumsel pulsa  masuk  saldo kurang  lah baik terus  saldo bakal   pulsa  masuk  kok  blokir sendiri  sudah bangking  blokir atmnya  
149,5,Semangat sumsel terus perbaiki aplikasinya ke lebih baik dan simple.. klo bisa jgn terlalu banyak OTPnya yaaa...,semangat sumsel terus perbaiki aplikasinya ke lebih baik dan simple.. klo bisa jgn terlalu banyak otpnya yaaa...,semangat sumsel terus perbaiki aplikasinya ke lebih baik dan simple   klo bisa jgn terlalu banyak otpnya yaaa,semangat sumsel terus perbaiki aplikasinya ke lebih baik dan simple   klo bisa jgn terlalu banyak otpnya ,"['semangat', 'sumsel', 'terus', 'perbaiki', 'aplikasinya', 'ke', 'lebih', 'baik', 'dan', 'simple', 'klo', 'bisa', 'jgn', 'terlalu', 'banyak', 'otpnya']","['semangat', 'sumsel', 'terus', 'perbaiki', 'aplikasinya', '', 'lebih', 'baik', '', 'simple', 'klo', '', 'jgn', 'terlalu', 'banyak', 'otpnya']","['semangat', 'sumsel', 'terus', 'baik', 'aplikasi', '', 'lebih', 'baik', '', 'simple', 'klo', '', 'jgn', 'terlalu', 'banyak', 'otpnya']",semangat sumsel terus baik aplikasi  lebih baik  simple kalau  jgn terlalu banyak otpnya
150,1,"BURUK!!!! mau tf ke atm lain malah ke debit, sttus pending. Harus nunggu 14hr kerja, pelayanan tidak SIGAP. Uangnyangkut tp lama proses. Klo bkn krna gaji di tf kesini, ogahh pake babel!","buruk!!!! mau tf ke atm lain malah ke debit, sttus pending. harus nunggu 14hr kerja, pelayanan tidak sigap. uangnyangkut tp lama proses. klo bkn krna gaji di tf kesini, ogahh pake babel!",buruk     mau tf ke atm lain malah ke debit  sttus pending  harus nunggu  hr kerja  pelayanan tidak sigap  uangnyangkut tp lama proses  klo bkn krna gaji di tf kesini  ogahh pake babel,buruk     mau tf ke atm lain malah ke debit  sttus pending  harus nunggu  hr kerja  pelayanan tidak sigap  uangnyangkut tp lama proses  klo bkn krna gaji di tf kesini  ogahh pake babel,"['buruk', 'mau', 'tf', 'ke', 'atm', 'lain', 'malah', 'ke', 'debit', 'sttus', 'pending', 'harus', 'nunggu', 'hr', 'kerja', 'pelayanan', 'tidak', 'sigap', 'uangnyangkut', 'tp', 'lama', 'proses', 'klo', 'bkn', 'krna', 'gaji', 'di', 'tf', 'kesini', 'ogahh', 'pake', 'babel']","['buruk', 'mau', 'tf', '', 'atm', '', 'malah', '', 'debit', 'sttus', 'pending', '', 'nunggu', 'hr', 'kerja', 'pelayanan', '', 'sigap', 'uangnyangkut', 'tp', 'lama', 'proses', 'klo', 'bkn', 'krna', 'gaji', '', 'tf', 'kesini', 'ogahh', 'pake', 'babel']","['buruk', 'mau', 'tf', '', 'atm', '', 'malah', '', 'debit', 'sttus', 'pending', '', 'nunggu', 'hr', 'kerja', 'layan', '', 'sigap', 'uangnyangkut', 'tp', 'lama', 'proses', 'klo', 'bkn', 'krna', 'gaji', '', 'tf', 'kesini', 'ogahh', 'pake', 'babel']",buruk mau transfer  atm  malah  debit sttus pending  nunggu hr kerja layan  sigap uangnyangkut tapi lama prose kalau bkn krna gaji  transfer kesini ogahh pake babel
151,1,"kalo bank masih ecek2 tidak usah mau kelihatan hebat mau mengambil transaksi gaji pegawai asn, perangkat desa, p3k, dll, seminggu ini 2x aku buka blokir aplikasi bsb ini tidak salah apa2.. tidak jelas banget belum ada gajian sudah sering terblokir apa lg sudah gajian ayolah kalau tidak sanggup kasihkan bank negara saja oyy lokak inini, kasihan banget kami ni rakyat kecil hidup di plosok mau ke bank BSB ini butuh 1jam perjalanan belum minyak belum makan kami mau narik setua ini... berpikir kamu ni","kalo bank masih ecek2 tidak usah mau kelihatan hebat mau mengambil transaksi gaji pegawai asn, perangkat desa, p3k, dll, seminggu ini 2x aku buka blokir aplikasi bsb ini tidak salah apa2.. tidak jelas banget belum ada gajian sudah sering terblokir apa lg sudah gajian ayolah kalau tidak sanggup kasihkan bank negara saja oyy lokak inini, kasihan banget kami ni rakyat kecil hidup di plosok mau ke bank bsb ini butuh 1jam perjalanan belum minyak belum makan kami mau narik setua ini... berpikir kamu ni",kalo bank masih ecek  tidak usah mau kelihatan hebat mau mengambil transaksi gaji pegawai asn  perangkat desa       dll  seminggu ini    aku buka blokir aplikasi bsb ini tidak salah apa    tidak jelas banget belum ada gajian sudah sering terblokir apa lg sudah gajian ayolah kalau tidak sanggup kasihkan bank negara saja oyy lokak inini  kasihan banget kami ni rakyat kecil hidup di plosok mau ke bank bsb ini butuh  jam perjalanan belum minyak belum makan kami mau narik setua ini    berpikir kamu ni,kalo bank masih ecek  tidak usah mau kelihatan hebat mau mengambil transaksi gaji pegawai asn  perangkat desa       dll  seminggu ini    aku buka blokir aplikasi bsb ini tidak salah apa    tidak jelas banget belum ada gajian sudah sering terblokir apa lg sudah gajian ayolah kalau tidak sanggup kasihkan bank negara saja oyy lokak inini  kasihan banget kami ni rakyat kecil hidup di plosok mau ke bank bsb ini butuh  jam perjalanan belum minyak belum makan kami mau narik setua ini    berpikir kamu ni,"['kalo', 'bank', 'masih', 'ecek', 'tidak', 'usah', 'mau', 'kelihatan', 'hebat', 'mau', 'mengambil', 'transaksi', 'gaji', 'pegawai', 'asn', 'perangkat', 'desa', 'dll', 'seminggu', 'ini', 'aku', 'buka', 'blokir', 'aplikasi', 'bsb', 'ini', 'tidak', 'salah', 'apa', 'tidak', 'jelas', 'banget', 'belum', 'ada', 'gajian', 'sudah', 'sering', 'terblokir', 'apa', 'lg', 'sudah', 'gajian', 'ayolah', 'kalau', 'tidak', 'sanggup', 'kasihkan', 'bank', 'negara', 'saja', 'oyy', 'lokak', 'inini', 'kasihan', 'banget', 'kami', 'ni', 'rakyat', 'kecil', 'hidup', 'di', 'plosok', 'mau', 'ke', 'bank', 'bsb', 'ini', 'butuh', 'jam', 'perjalanan', 'belum', 'minyak', 'belum', 'makan', 'kami', 'mau', 'narik', 'setua', 'ini', 'berpikir', 'kamu', 'ni']","['kalo', 'bank', '', 'ecek', '', 'usah', 'mau', 'kelihatan', 'hebat', 'mau', 'mengambil', 'transaksi', 'gaji', 'pegawai', 'asn', 'perangkat', 'desa', '', 'seminggu', '', 'aku', 'buka', 'blokir', 'aplikasi', 'bsb', '', '', 'salah', 'apa', '', 'jelas', 'banget', '', '', 'gajian', '', 'sering', 'terblokir', 'apa', 'lg', '', 'gajian', 'ayolah', 'kalau', '', 'sanggup', 'kasihkan', 'bank', 'negara', '', 'oyy', 'lokak', 'inini', 'kasihan', 'banget', '', 'ni', 'rakyat', 'kecil', 'hidup', '', 'plosok', 'mau', '', 'bank', 'bsb', '', 'butuh', 'jam', 'perjalanan', '', 'minyak', '', 'makan', '', 'mau', 'narik', 'setua', '', 'berpikir', 'kamu', 'ni']","['kalo', 'bank', '', 'ecek', '', 'usah', 'mau', 'lihat', 'hebat', 'mau', 'ambil', 'transaksi', 'gaji', 'pegawai', 'asn', 'perangkat', 'desa', '', 'minggu', '', 'aku', 'buka', 'blokir', 'aplikasi', 'bsb', '', '', 'salah', 'apa', '', 'jelas', 'banget', '', '', 'gaji', '', 'sering', 'blokir', 'apa', 'lg', '', 'gaji', 'ayo', 'kalau', '', 'sanggup', 'kasih', 'bank', 'negara', '', 'oyy', 'lokak', 'inini', 'kasihan', 'banget', '', 'ni', 'rakyat', 'kecil', 'hidup', '', 'plosok', 'mau', '', 'bank', 'bsb', '', 'butuh', 'jam', 'jalan', '', 'minyak', '', 'makan', '', 'mau', 'narik', 'tua', '', 'pikir', 'kamu', 'ni']",kalo bank  ecek  usah mau lihat hebat mau ambil transaksi gaji pegawai asn perangkat desa  minggu  aku buka blokir aplikasi bsb   salah apa  jelas banget   gaji  sering blokir apa lagi  gaji ayo kalau  sanggup kasih bank negara  oyy lokak inini kasihan banget  ini rakyat kecil hidup  plosok mau  bank bsb  butuh jam jalan  minyak  makan  mau narik tua  pikir kamu ini
152,3,Coba donk kayak bank lainnya bisa aktivasi m-banking yang keblokir via online. Jadi gak ribet buat orang2 yg suka mageran buat pergi ke bank😂,coba donk kayak bank lainnya bisa aktivasi m-banking yang keblokir via online. jadi gak ribet buat orang2 yg suka mageran buat pergi ke bank😂,coba donk kayak bank lainnya bisa aktivasi   banking yang keblokir via online  jadi gak ribet buat orang  yg suka mageran buat pergi ke bank,coba donk kayak bank lainnya bisa aktivasi   banking yang keblokir via online  jadi gak ribet buat orang  yg suka mageran buat pergi ke bank,"['coba', 'donk', 'kayak', 'bank', 'lainnya', 'bisa', 'aktivasi', 'banking', 'yang', 'keblokir', 'via', 'online', 'jadi', 'gak', 'ribet', 'buat', 'orang', 'yg', 'suka', 'mageran', 'buat', 'pergi', 'ke', 'bank']","['coba', 'donk', 'kayak', 'bank', 'lainnya', '', 'aktivasi', 'banking', '', 'keblokir', 'via', 'online', 'jadi', 'gak', 'ribet', 'buat', 'orang', 'yg', 'suka', 'mageran', 'buat', 'pergi', '', 'bank']","['coba', 'donk', 'kayak', 'bank', 'lain', '', 'aktivasi', 'banking', '', 'blokir', 'via', 'online', 'jadi', 'gak', 'ribet', 'buat', 'orang', 'yg', 'suka', 'mageran', 'buat', 'pergi', '', 'bank']",coba donk kayak bank lain  aktivasi banking  blokir via online jadi gak ribet buat orang yang suka mageran buat pergi  bank
153,1,Transaksi malam hari rawan gagal,transaksi malam hari rawan gagal,transaksi malam hari rawan gagal,transaksi malam hari rawan gagal,"['transaksi', 'malam', 'hari', 'rawan', 'gagal']","['transaksi', 'malam', 'hari', 'rawan', 'gagal']","['transaksi', 'malam', 'hari', 'rawan', 'gagal']",transaksi malam hari rawan gagal
154,1,Aplikasi ini sdh 3 x ke blokir cuma gara2 buka simcard. Jadi setelah itu sy putuskan uninstal,aplikasi ini sdh 3 x ke blokir cuma gara2 buka simcard. jadi setelah itu sy putuskan uninstal,aplikasi ini sdh     ke blokir cuma gara  buka simcard  jadi setelah itu sy putuskan uninstal,aplikasi ini sdh     ke blokir cuma gara  buka simcard  jadi setelah itu sy putuskan uninstal,"['aplikasi', 'ini', 'sdh', 'ke', 'blokir', 'cuma', 'gara', 'buka', 'simcard', 'jadi', 'setelah', 'itu', 'sy', 'putuskan', 'uninstal']","['aplikasi', '', 'sdh', '', 'blokir', 'cuma', 'gara', 'buka', 'simcard', 'jadi', '', '', 'sy', 'putuskan', 'uninstal']","['aplikasi', '', 'sdh', '', 'blokir', 'cuma', 'gara', 'buka', 'simcard', 'jadi', '', '', 'sy', 'putus', 'uninstal']",aplikasi  sudah  blokir cuma gara buka simcard jadi   sy putus uninstal
155,5,Semoga sukses sllu,semoga sukses sllu,semoga sukses sllu,semoga sukses sllu,"['semoga', 'sukses', 'sllu']","['semoga', 'sukses', 'sllu']","['moga', 'sukses', 'sllu']",moga sukses selalu
156,1,"Kurang memuaskan Mobile banking sumsel babel, ga ada pemberitahuan saldo masuk ataupun kluar dan stiap kali lepas kartu sd ,pas ingin masuk ke akun di suru aktivasi kembali😇 padahal hp dan nmor terdaftar yg sama, tolong di perbaiki lagi dong pak/ibu yth..terimakasi","kurang memuaskan mobile banking sumsel babel, ga ada pemberitahuan saldo masuk ataupun kluar dan stiap kali lepas kartu sd ,pas ingin masuk ke akun di suru aktivasi kembali😇 padahal hp dan nmor terdaftar yg sama, tolong di perbaiki lagi dong pak/ibu yth..terimakasi",kurang memuaskan mobile banking sumsel babel  ga ada pemberitahuan saldo masuk ataupun kluar dan stiap kali lepas kartu sd  pas ingin masuk ke akun di suru aktivasi kembali  padahal hp dan nmor terdaftar yg sama  tolong di perbaiki lagi dong pak ibu yth  terimakasi,kurang memuaskan mobile banking sumsel babel  ga ada pemberitahuan saldo masuk ataupun kluar dan stiap kali lepas kartu sd  pas ingin masuk ke akun di suru aktivasi kembali  padahal hp dan nmor terdaftar yg sama  tolong di perbaiki lagi dong pak ibu yth  terimakasi,"['kurang', 'memuaskan', 'mobile', 'banking', 'sumsel', 'babel', 'ga', 'ada', 'pemberitahuan', 'saldo', 'masuk', 'ataupun', 'kluar', 'dan', 'stiap', 'kali', 'lepas', 'kartu', 'sd', 'pas', 'ingin', 'masuk', 'ke', 'akun', 'di', 'suru', 'aktivasi', 'kembali', 'padahal', 'hp', 'dan', 'nmor', 'terdaftar', 'yg', 'sama', 'tolong', 'di', 'perbaiki', 'lagi', 'dong', 'pak', 'ibu', 'yth', 'terimakasi']","['kurang', 'memuaskan', 'mobile', 'banking', 'sumsel', 'babel', 'ga', '', 'pemberitahuan', 'saldo', 'masuk', 'ataupun', 'kluar', '', 'stiap', 'kali', 'lepas', 'kartu', 'sd', 'pas', '', 'masuk', '', 'akun', '', 'suru', 'aktivasi', '', 'padahal', 'hp', '', 'nmor', 'terdaftar', 'yg', 'sama', '', '', 'perbaiki', '', 'dong', 'pak', 'ibu', 'yth', 'terimakasi']","['kurang', 'muas', 'mobile', 'banking', 'sumsel', 'babel', 'ga', '', 'pemberitahuan', 'saldo', 'masuk', 'atau', 'kluar', '', 'stiap', 'kali', 'lepas', 'kartu', 'sd', 'pas', '', 'masuk', '', 'akun', '', 'suru', 'aktivasi', '', 'padahal', 'hp', '', 'nmor', 'daftar', 'yg', 'sama', '', '', 'baik', '', 'dong', 'pak', 'ibu', 'yth', 'terimakasi']",kurang muas mobile banking sumsel babel tidak  pemberitahuan saldo masuk atau kluar  setiap kali lepas kartu sd pa  masuk  akun  suru aktivasi  padahal hp  nmor daftar yang sama   baik  dong pak ibu yth terimakasi
157,4,Sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
158,5,mantap 👍,mantap 👍,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
159,5,So far so good,so far so good,so far so good,so far so good,"['so', 'far', 'so', 'good']","['so', 'far', 'so', 'good']","['so', 'far', 'so', 'good']",so far so good
160,5,Saya Sangat puas memakai Mbanking,saya sangat puas memakai mbanking,saya sangat puas memakai mbanking,saya sangat puas memakai mbanking,"['saya', 'sangat', 'puas', 'memakai', 'mbanking']","['', 'sangat', 'puas', 'memakai', 'mbanking']","['', 'sangat', 'puas', 'pakai', 'mbanking']", sangat puas pakai mbanking
161,5,Mantap jiwa,mantap jiwa,mantap jiwa,mantap jiwa,"['mantap', 'jiwa']","['mantap', 'jiwa']","['mantap', 'jiwa']",mantap jiwa
162,1,"Ribet tiap transaksi harus pake OTP. Sumsel ini masih banyak Lo daerah yang signalnya jelek bahkan gak ada signal sama sekali. Buka m banking mengandaikan WIFI desa, tapi sayangnya harus pake OTP jadi percuma gak bisa dipake. OTP kan harus ada signal SMS. Coba diperbaiki ke depannya","ribet tiap transaksi harus pake otp. sumsel ini masih banyak lo daerah yang signalnya jelek bahkan gak ada signal sama sekali. buka m banking mengandaikan wifi desa, tapi sayangnya harus pake otp jadi percuma gak bisa dipake. otp kan harus ada signal sms. coba diperbaiki ke depannya",ribet tiap transaksi harus pake otp  sumsel ini masih banyak lo daerah yang signalnya jelek bahkan gak ada signal sama sekali  buka   banking mengandaikan wifi desa  tapi sayangnya harus pake otp jadi percuma gak bisa dipake  otp kan harus ada signal sms  coba diperbaiki ke depannya,ribet tiap transaksi harus pake otp  sumsel ini masih banyak lo daerah yang signalnya jelek bahkan gak ada signal sama sekali  buka   banking mengandaikan wifi desa  tapi sayangnya harus pake otp jadi percuma gak bisa dipake  otp kan harus ada signal sms  coba diperbaiki ke depannya,"['ribet', 'tiap', 'transaksi', 'harus', 'pake', 'otp', 'sumsel', 'ini', 'masih', 'banyak', 'lo', 'daerah', 'yang', 'signalnya', 'jelek', 'bahkan', 'gak', 'ada', 'signal', 'sama', 'sekali', 'buka', 'banking', 'mengandaikan', 'wifi', 'desa', 'tapi', 'sayangnya', 'harus', 'pake', 'otp', 'jadi', 'percuma', 'gak', 'bisa', 'dipake', 'otp', 'kan', 'harus', 'ada', 'signal', 'sms', 'coba', 'diperbaiki', 'ke', 'depannya']","['ribet', 'tiap', 'transaksi', '', 'pake', 'otp', 'sumsel', '', '', 'banyak', 'lo', 'daerah', '', 'signalnya', 'jelek', 'bahkan', 'gak', '', 'signal', 'sama', 'sekali', 'buka', 'banking', 'mengandaikan', 'wifi', 'desa', '', 'sayangnya', '', 'pake', 'otp', 'jadi', 'percuma', 'gak', '', 'dipake', 'otp', 'kan', '', '', 'signal', 'sms', 'coba', 'diperbaiki', '', 'depannya']","['ribet', 'tiap', 'transaksi', '', 'pake', 'otp', 'sumsel', '', '', 'banyak', 'lo', 'daerah', '', 'signalnya', 'jelek', 'bahkan', 'gak', '', 'signal', 'sama', 'sekali', 'buka', 'banking', 'andai', 'wifi', 'desa', '', 'sayang', '', 'pake', 'otp', 'jadi', 'percuma', 'gak', '', 'dipake', 'otp', 'kan', '', '', 'signal', 'sms', 'coba', 'baik', '', 'depan']",ribet tiap transaksi  pake otp sumsel   banyak lo daerah  signalnya jelek bahkan gak  signal sama sekali buka banking andai wifi desa  sayang  pake otp jadi percuma gak  dipake otp kan   signal sm coba baik  depan
163,1,"Apk gak di apa-apaiin, jarang di buka.. di buka pas gajian aja.. Tiba2 diblokir GAJELASSSS","apk gak di apa-apaiin, jarang di buka.. di buka pas gajian aja.. tiba2 diblokir gajelassss",apk gak di apa apaiin  jarang di buka   di buka pas gajian aja   tiba  diblokir gajelassss,apk gak di apa apaiin  jarang di buka   di buka pas gajian aja   tiba  diblokir ,"['apk', 'gak', 'di', 'apa', 'apaiin', 'jarang', 'di', 'buka', 'di', 'buka', 'pas', 'gajian', 'aja', 'tiba', 'diblokir']","['apk', 'gak', '', 'apa', 'apaiin', 'jarang', '', 'buka', '', 'buka', 'pas', 'gajian', 'aja', 'tiba', 'diblokir']","['apk', 'gak', '', 'apa', 'apaiin', 'jarang', '', 'buka', '', 'buka', 'pas', 'gaji', 'aja', 'tiba', 'blokir']",aplikasi gak  apa apaiin jarang  buka  buka pa gaji aja tiba blokir
164,5,👍👍👍,👍👍👍,,,[],[],[],
165,5,Terbaik,terbaik,terbaik,terbaik,['terbaik'],['terbaik'],['baik'],baik
166,5,sangat memudahkan untuk transaksi.,sangat memudahkan untuk transaksi.,sangat memudahkan untuk transaksi,sangat memudahkan untuk transaksi,"['sangat', 'memudahkan', 'untuk', 'transaksi']","['sangat', 'memudahkan', '', 'transaksi']","['sangat', 'mudah', '', 'transaksi']",sangat mudah  transaksi
167,1,"Dear, tim teknisi bank sumsel babel syariah.. kenapa aplikasi ini mudah sekali terblokir.. masa sih gara gara sinyal harus terblokir, saya mau login ke akun saya dan mau cek saldo.. tapi tiba-tiba terblokir.. tolong lah benerin dulu sistemnya..","dear, tim teknisi bank sumsel babel syariah.. kenapa aplikasi ini mudah sekali terblokir.. masa sih gara gara sinyal harus terblokir, saya mau login ke akun saya dan mau cek saldo.. tapi tiba-tiba terblokir.. tolong lah benerin dulu sistemnya..",dear  tim teknisi bank sumsel babel syariah   kenapa aplikasi ini mudah sekali terblokir   masa sih gara gara sinyal harus terblokir  saya mau login ke akun saya dan mau cek saldo   tapi tiba tiba terblokir   tolong lah benerin dulu sistemnya,dear  tim teknisi bank sumsel babel syariah   kenapa aplikasi ini mudah sekali terblokir   masa sih gara gara sinyal harus terblokir  saya mau login ke akun saya dan mau cek saldo   tapi tiba tiba terblokir   tolong lah benerin dulu sistemnya,"['dear', 'tim', 'teknisi', 'bank', 'sumsel', 'babel', 'syariah', 'kenapa', 'aplikasi', 'ini', 'mudah', 'sekali', 'terblokir', 'masa', 'sih', 'gara', 'gara', 'sinyal', 'harus', 'terblokir', 'saya', 'mau', 'login', 'ke', 'akun', 'saya', 'dan', 'mau', 'cek', 'saldo', 'tapi', 'tiba', 'tiba', 'terblokir', 'tolong', 'lah', 'benerin', 'dulu', 'sistemnya']","['dear', 'tim', 'teknisi', 'bank', 'sumsel', 'babel', 'syariah', '', 'aplikasi', '', 'mudah', 'sekali', 'terblokir', 'masa', 'sih', 'gara', 'gara', 'sinyal', '', 'terblokir', '', 'mau', 'login', '', 'akun', '', '', 'mau', 'cek', 'saldo', '', 'tiba', 'tiba', 'terblokir', '', 'lah', 'benerin', 'dulu', 'sistemnya']","['dear', 'tim', 'teknisi', 'bank', 'sumsel', 'babel', 'syariah', '', 'aplikasi', '', 'mudah', 'sekali', 'blokir', 'masa', 'sih', 'gara', 'gara', 'sinyal', '', 'blokir', '', 'mau', 'login', '', 'akun', '', '', 'mau', 'cek', 'saldo', '', 'tiba', 'tiba', 'blokir', '', 'lah', 'benerin', 'dulu', 'sistem']",dear tim teknisi bank sumsel babel syariah  aplikasi  mudah sekali blokir masa sih gara gara sinyal  blokir  mau login  akun   mau cek saldo  tiba tiba blokir  lah benerin dulu sistem
168,5,Mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
169,5,Melancarkan transaksi kapanpun dimanapun,melancarkan transaksi kapanpun dimanapun,melancarkan transaksi kapanpun dimanapun,melancarkan transaksi kapanpun dimanapun,"['melancarkan', 'transaksi', 'kapanpun', 'dimanapun']","['melancarkan', 'transaksi', 'kapanpun', 'dimanapun']","['lancar', 'transaksi', 'kapan', 'mana']",lancar transaksi kapan mana
