;text;cluster;score
454;transfer transaksi tambah saran mudah lebih fitur fast depan biaya bi baik aplikasi;2;5
455;transaksi mudah kapan bagus aplikasi;1;5
456;sy sumsel sama paksa kerja bank bagus aplikasi;0;5
457;transaksi sangat bsb bantu;1;5
458;transaksi mana;1;5
459;terus sumsel sangat mantap kembang bantu bank babel aplikasi;1;5
460;transaksi sangat mudah aplikasi aman;1;5
461;transaksi mudah era;1;5
462;transaksi tidak susah sangat rumah repot perlu payah maupun mantap layan keluar digital cepat bsb ber bantu banking atm;1;5
463;sekali bantu;1;5
464;transaksi sangat hari bantu;1;5
465;sangat bantu baik aplikasi;2;5
466;paham mudah lengkap fitur aplikasi;0;5
467;transaksi sangat mudah baik;2;5
468;transaksi mudah;1;5
469;transaksi terimakasih sumsel sangat mudah mana kapan guna bank babel aplikasi;1;5
470;mantap;1;5
471;update ulang tiap sampah minta mau malah kali gilir cabang aplikasi aktivasi;0;1
472;transaksi tingkat mobile kapan banking baik aman;2;5
473;mutu bsb;3;5
474;transaksi sangat online bantu;1;5
475;uang sangat bantu alhamdulillah aktivitas;1;5
476;sangat cepat bantu aman;1;5
477;waktu untuk transaksi simpel sangat ribet perlu gak dengan bantu atm aplikasi ada;1;5
478;sangat muda laku lah bsb baik;2;5
479;sih mantap aplikasi;0;5
480;mobile buat bsb best banking baik aman;3;5
481;transaksi cepat aman;1;5
482;tetap laku baik aplikasi;2;5
483;transaksi senang sangat prose mobile mau lalu cepat bsb bantu banking aplikasi apa aman aja ada;1;5
484;best;3;5
485;tunai sangat mudah muas layan;1;5
486;transaksi mudah mobile mantap bsb;1;5
487;update terus saing percaya mobile kembang banking aman;3;5
488;transaksi sangat bantu;1;5
489;mantap;1;5
490;mantap;1;5
491;tingkat terus tambah ribet nya kendala fitur bagus;3;5
492;sangat puas;1;5
493;sumsel makin kembang jaya bank babel;3;5
494;mudah dengan aplikasi ada;0;5
495;transaksi sangat online mudah bantu;1;5
496;mantap;1;5
497;transaksi sangat online mudah laku bantu;1;5
498;transaksi selalu sangat mudah mantap jaya bsb;1;5
499;transaksi terus sumsel ribet mudah maju bank bagus babel;1;5
500;transaksi sangat baik bagus aplikasi aman;2;5
501;transaksi segala sangat bantu aplikasi;1;5
502;transaksi sumsel sangat repot perlu mbanking kapan dekat bantu bank babel;1;5
503;transaksi terima semenjak sangat kasih bsb bantu aplikasi;1;5
504;yang transaksi sistem sangat punya online mudah baik bagus aplikasi aman;1;5
505;transaksi cepat aman;1;5
506;transaksi otp mudah mana lebih kapan jadi guna buat aplikasi aman ada;0;5
507;transaksi terimakasih mudah bsb;1;5
508;mudah guna;1;5
509;transaksi sangat mudah kan bantu;1;5
510;transaksi prose mudah mantap cepat;1;5
511;semua satu perban fasilitas;3;5
512;mantap;1;5
513;transaksi sekali mudah aplikasi;0;5
514;keren deh banget bagus;3;5
515;transaksi sangat online laku dlm bantu;1;5
516;transaksi mantap mana kapan bantu;1;5
517;sangat layan baik;2;5
518;simple mudah guna;1;5
519;bsb best;3;5
520;yang transaksi sangat otp org mantap guna aman ak;1;5
521;transaksi mudah lebih;1;5
522;transaksi sangat praktis mudah hari guna;1;5
523;aplikasi;0;5
524;transaksi sangat mudah baik;2;5
525;transaksi sangat mudah baik;2;5
526;transaksi sangat mudah hari cepat;1;5
527;pay mantap isi go;1;5
528;transaksi mudah bagus aplikasi;1;5
529;banget bagus aplikasi;0;5
530;sangat libur bantu;1;5
531;waktu transaksi sumselbabel ribet nasabah mudah mobile laku habis banyak banking bank antri;3;5
532;transaksi mudah mobile lebih bsb;1;5
533;transaksi sangat bantu;1;5
534;sumsel makin maju kembang bank babel;3;5
535;punya oke fitur baik aman;3;5
536;uang transaksi sangat mudah laku;1;5
537;baik;2;5
538;transaksi sangat mana digital bantu ada;1;5
539;ku bos;3;5
540;bagus appnya;1;5
541;transaksi tingkat mudah mana kapan jadi guna aplikasi aman;0;5
542;yang sistem mudah cepat bantu;1;5
543;baik;2;5
544;simpel saing ribet mobile lengkap kalah guna gak fitur bsb banking bank aplikasi aktif;0;5
545;transaksi terimakasih sumsel selalu percaya mudah moga lebih jaya bank aman;3;5
546;praktis pake mobile makin lebih laku kapan dlm bsb bayar banking abis;3;5
547;sangat baik;2;5
548;transaksi mudah mobile mana bsb banking ada;1;5
549;transaksi terus sumselbabel sukses sangat mobile mantap bantu bank;1;5
550;transaksi sangat bantu;1;5
551;oke banget;3;5
552;mudah mobile bsb banking;1;5
553;transaksi terima sumsel mudah mobile lalu kasih bsb banking bank babel;3;5
554;sangat baik;2;5
555;sangat bantu;1;5
556;transfer sangat saldo ribet ngecek fiturnya buat bantu bank baik atm aplikasi;1;5
557;sangat bantu;1;5
558;transaksi semua perban mudah mobile lebih jadi bsb;1;5
559;transaksi sangat mudah dlm bantu;1;5
560;transaksi sangat laku bantu;1;5
561;sangat mobile manfaat dukung bsb banking aktifitas;1;5
562;sangat sandi lupa bikin baru bantu bank balik bagus aplikasi;1;5
563;uang sangat masuk lihat lebih buat bayar bantu baik;1;5
564;transaksi sangat nya mudah lengkap fitur aplikasi;1;5
565;makin depan bsb;3;5
566;mantap;1;5
567;transfer sangat saldo ribet ngecek fiturnya buat bantu bank baik atm aplikasi;1;5
568;transaksi mudah lebih jadi;1;5
569;good;1;5
570;mudah guna aplikasi;0;5
571;transaksi perban mudah;1;5
572;transfer transaksi sekali sangat mudah cepat bantu bank;1;5
573;mantap;1;5
574;transaksi mudah baik aplikasi;2;5
575;sangat bantu;1;5
576;transaksi terima sumsel sekarang satu mudah lebih kasih bank babel;3;5
577;baik;2;5
578;transaksi sumsel sangat mobile fitur banyak bantu bank babel ada;1;5
579;transaksi terima sumsel mobile lalu kasih beri banking bank babel;3;5
580;lengkap fiturnya;3;5
581;transaksi sumsel sukses selalu sangat mudah mobile banking bank babel ada;1;5
582;transaksi tingkat mudah luar good dlm bsb biasa aman;1;5
583;yang transaksi tingkat sistem sangat rek pake otp mpin moga mobile maupun link lalu kode jadi bantu bangking aplikasi aman;0;5
584;transaksi terima sumselbabel sangat mobile kasih bantu banking bank;1;5
585;transaksi sangat bantu;1;5
586;untuk transaksi sering sangat pake manfaat layan gopay cepat beli bankingnya bank babel atas;3;5
587;transaksi hari butuh apa;3;5
588;good apps;1;5
589;tingkat tidak terus skrg mobile lot bsb;3;5
590;susah minta ampun aktivasi;3;1
591;transfer mudah lebih fitur cepat aplikasi;0;5
592;sangat bantu;1;5
593;sangat bantu aplikasi;1;5
594;mantap jaya;1;5
595;yang transfer transaksi topup top terima tagih sumsel sangat sama qris pilih pakai otp lagi kasih gopay bsb bayar banyak bantu bank babel apa aman;3;5
596;sangat bantu aplikasi;1;5
597;ulang suruh selesai malah luar gilir blokir biasa aktivasi;3;1
598;manfaat guna;3;5
599;transaksi terimakasih sumsel sekali sangat mudah mobile kapan guna bantu banking bank babel;1;5
600;transaksi sangat mudah mobile fitur bsb bantu;1;5
601;transaksi simple paham mudah;1;5
602;transaksi sangat perban laku bantu aplikasi;1;5
603;transaksi sangat online bantu;1;5
604;transaksi sangat perban bantu;1;5
605;sangat aplikasi aman;0;5
606;transaksi sumsel mudah mobile lebih guna banking bank babel;1;5
607;sumsel sangat fungsi bank baik babel aplikasi aman;0;5
608;transaksi tingkat sangat mobile mbangking laku kembang guna;1;5
609;transaksi sangat riwayat perban mudah bantu;1;5
610;transaksi sumsel sangat kapan bantu bank baik babel aplikasi;1;5
611;sedia sangat mudah guna bayar bagus bagai aplikasi;1;5
612;tetap terus moga;3;5
613;sangat perban butuh bagai aplikasi;0;5
614;user sangat keren friendly aplikasi;0;5
615;mudah bayar;1;5
616;transaksi sangat perban laku bantu;1;5
617;sangat praktis bantu;1;5
618;transaksi simple semua sangat ribet perlu mudah manfaat guna fiturnya bantu atm aplikasi alam;1;5
619;transaksi perban bantu aplikasi;1;5
620;transaksi sangat manfaat lancar;1;5
621;;3;
622;lancar aplikasi;0;5
623;sangat manfaat;1;5
624;yang satu sangat dengan aplikasi;0;5
625;transaksi sangat manfaat bagus;1;5
626;transaksi sangat manfaat;1;5
627;keren banget;3;5
628;transaksi sangat good dlm bantu;1;5
629;tabung sekali sangat rekening lancar bantu bagus aplikasi;1;5
630;transaksi mudah hari;1;5
631;transaksi sangat mudah manfaat lebih baik;2;5
632;transaksi sangat perban mudah bantu aplikasi;1;5
633;terus;3;5
634;moga makin baik;2;5
635;transaksi sangat mudah keren kapan bantu aplikasi;1;5
636;solusi perban mudah;3;5
637;mantap;1;5
638;transaksi terus sangat online maju bsb bantu bank atm;1;5
639;terima sangat percaya mobile manfaat kasih bsb;1;5
640;yang tdak layan baik;2;5
641;sekali bantu;1;5
642;sangat perban mudah layan laku bantu aplikasi;1;5
643;mobile bsb;3;5
644;good;1;5
645;yang untung tingkat terus sangat nasabah mudah layan bsb baik aplikasi;2;5
646;luar;3;5
647;sangat kembang dukung;1;5
648;sangat lengkap fiturnya bantu;1;5
649;pacak bsb;3;5
650;sumsel moga makin jaya buat bank babel;3;5
651;update terus tambah selalu punya oke fitur depan baru aplikasi;3;5
652;transaksi sangat muda bantu;1;5
653;transaksi sangat praktis mudah mobile bsb beri;1;5
654;uang transaksi tingkat terus mudah mana kualitas kapan cukup bantu aplikasi ak;1;5
655;oke memang mbanking bsb banget;3;5
656;transaksi semenjak mudah mobile lebih jadi bsb;1;5
657;super sumselbabel praktis oke lh keren jam gila dipake bank banget;3;5
658;guna dengan baik aplikasi;2;5
659;transaksi sangat bantu aplikasi;1;5
660;transaksi top sekali sangat qris pakai mudah malam lebih laku krn hari dengan bayar bantu banget;1;5
661;transaksi sangat bantu;1;5
662;yang transaksi nasabah mudah aplikasi;0;5
663;ulang udah terus suruh rasa malu malah maju lama fiturnya bukak bsb blokir bank banget baik aplikasi akun aku aktivasi;3;1
664;transaksi sangat mudah lancar;1;5
665;transaksi terimakasih sumselbabel mudah mobile lebih jadi bsb bank aplikasi;0;5
666;sangat mudah bantu;1;5
667;mobile bsb best banking;3;5
668;sangat mudah mobile bsb bantu;1;5
669;transaksi sangat mudah mana kapan guna aplikasi;1;5
670;transaksi sumsel sangat rumah mobile memang laku bsb bantu bank babel;1;5
671;saldo mutasi cek;3;5
672;yang transaksi sangat mudah bantu aplikasi;1;5
673;transaksi mudah lebih jd cepat;1;5
674;sangat bantu;1;5
675;mantap;1;5
676;transaksi sudah sangat mudah lengkap laku jd guna gampang fitur aplikasi;1;5
677;uang semua lengkap butuh aplikasi;0;5
678;manfaat bantu;1;5
679;sangat bantu aplikasi;1;5
680;sangat pacak bsb bantu;1;5
681;waktu transaksi sumsel sesuai satu paham nasabah mudah mobile lebih habis fitur era digital dannyaman cukup canggih butuh bata banyak banking bank babel aman ada;1;5
682;transaksi sangat mudah jam guna;1;5
683;yang transaksi mudah aplikasi;0;5
684;sangat mudah guna bantu;1;5
685;sangat mudah guna bantu;1;5
686;yang transaksi sangat daerah bantu ada;1;5
687;temu pihak mohon mau masa guna gak developer data aplikasi aktivasi;0;1
688;bagus aplikasi;0;5
689;sangat mudah guna bantu aplikasi;1;5
690;mantap aplikasi;0;5
691;mudah mantab guna aplikasi;0;5
692;sangat mudah dukung aplikasi;1;5
693;sangat bantu;1;5
694;yang tagih sumsel sekali praktis paling pake oke nian mudah mbanking masuk lancar lah jam gaji enak cek biso bayar;3;5
695;suka sekali pakai banking;3;5
696;transaksi mudah guna dannyaman aplikasi aman;0;5
697;transaksi simple sangat perban nya mudah manfaat lebih jadi guna fitur;1;5
698;transaksi top terus tambah sudah qris pay mudah moga makin kapan kan go canggih bayar;3;5
699;mantap;1;5
700;sangat muas bsb;1;5
701;transaksi sumsel sangat muas banking bank babel;1;5
702;mobile keren bsb;3;5
703;layan digital daerah bank;3;5
704;uang transaksi mudah aplikasi;0;5
705;transfer sangat perlu nasabah mudah bantu bank aplikasi antri;1;5
706;;3;
707;transaksi sangat mobile hari dukung bantu banking aplikasi;1;5
708;transaksi sangat bantu;1;5
709;yang mudah mantab aplikasi;0;5
710;sangat mudah guna bantu;1;5
711;mudah kapan;1;5
712;muas layan bagus;1;5
713;sangat bantu;1;5
714;sangat org mudah guna;1;5
715;sekarang pernah mobile kendala guna awal;3;5
716;mudah guna aplikasi;0;5
717;transaksi sangat mudah bantu aplikasi;1;5
718;transaksi mudah lebih bantu aplikasi aman;1;5
719;sumsel sangat mudah lot guna banking bank babel;1;5
720;transaksi mudah banget;1;5
721;user pin otp friendly aman;3;5
722;untuk transaksi sumsel sekali sangat pergi jg guna bsb bantu bank babel aplikasi;1;5
723;transaksi sangat mudah hari beri bantu aplikasi;1;5
724;praktis pakai mudah fitur aplikasi aman;0;5
725;udah suruh sering sedia mudah mau malah login layan kalo gin dulu bukan banyak banking bank baik aplikasi aktivasi;3;1
726;sekali sangat mudah mobile guna bsb aplikasi;0;5
727;;3;
728;transaksi semua sangat bantu;1;5
729;transaksi segala sangat mudah bagus;1;5
730;mbankingnya maksimal aplikasi;0;4
731;udah temu sumsel semua mau malah laku lah data buka blokir bilang bener baru baik aplikasi aktivasi;3;1
732;tinggal sangat lambat baru aplikasi;0;1
733;waktu user update ujung tiap panjang ny lah bulan blokir bank aktivasi aja;3;1
734;ulang padahal gak dikit apa aktivasi;3;1
735;ulang gagal aktivasi;3;1
736;terlalu susah login kesel bug bikin bener banyak aja;3;1
737;transaksi tabung masuk lambat kadang jadi gak dulu buku baik atm aktifasi;3;5
738;tim swasta sih saing rating punya pake orang nih kelas itnya ilang harus gimana biar bank aplikasi;3;1
739;sangat bantu;1;5
740;transfer gabisa buat;3;1
741;tulis tidak sekarang sampe masalah login koneksi jaring download aja;3;1
742;untuk transfer transaksi tinggal tapi tambah sumsel sering seluruh saat rek pln pake padahal otp nasabah mudah mau malah lengkap laku kode jauh guna gaji fitur error daftar bug buat bayar baru banyak bank baik aplikasi;3;1
743;ulang terlalu sering malah aktivasi;3;4
744;yang update ulang udah tidak sumsel sinyal sekian salah paling pakai padahal msh mobile minta menu mau mana male login kelas kali jelek jadi guna canggih buat bsb banking bank aplikasi apa aktivasi;0;1
745;yang waktu user usah urus ulang tidak tiap tambah skrg sama rb pake padahal pa otp nali minta minggu materai masa malah makan kode kemarin kartu kali hp gua gila gak dengan buruk bulan bsb blokir berapa barusan bank banget aplikasi aktivasi akhir aja;3;1
746;waktu udah transfer tpi sampe saldo pulsa ngisi masuk lalu kali gak debet coba beberapa barusan banking;3;1
747;susah mau login aja;3;1
748;good;1;5
749;transfer muncul;3;2
750;nih maju kok itnya gin gimna;3;1
751;sangat padahal org ngantri layan lama lah kurang kasi karna jadi dulu dengan cuma csnya bank;3;1
752;ulang terus tanggung siap segala salah perlu pakai minta mau materai kok kantor kalo gak bank aplikasi aktivasi aja;0;1
753;sumsel satu nomor bank bagus;3;5
754;pegawai pakai mulu login layan lah jangan aplikasi;0;1
755;udah sendiri selalu sedia masak malah logout lalu hari beres baru bank aplikasi aktipasi;3;1
756;wifi usah pindah padahal oke mobile mending masalah koneksi kalo jaring internet buat bca banking bagus aplikasi;3;1
757;usah gak aplikasi;0;1
758;selalu masalah dikit bank aktivasi;3;1
759;selalu saldo pulsa pernah masuk kurang kalau hapus guna gak beli aplikasi apa aja;0;1
760;tpi tiba tahu sudah sendiri lgi kode keluar bilang apa akun aktivasi aktifitas;3;1
761;utama user ulang sih sering puas perangkat nasabah nali minta masalah kecewa kata kalau jauh dong dekat blokir bank bagaimana aplikasi aktifasi;3;2
762;ulang segera sedia payah mobile malah login kembang bsb baik aktivasi;3;1
763;tpi saldo pulsa potong malah kok gagal beli aplikasi;0;1
764;tetap sesuai sering sayang sandi saldo salah pulsa pin padahal otp mpin masuk masalah malah kurang kode kendala jaring jadi blokir benah beli barusan aplikasi;3;1
765;mobile masalah jaring bsb blokir bagus apa;3;1
766;tim perlu muas login layan gak blokir beri aktivasi akhir;3;1
767;ulang terus ribet mudah minta mbanking malah bukan aplikasi aktivasi ada;3;1
768;siap lah jangan aplikasi;0;1
769;ulang udah sudah sm mohon masuk malah eh deh capek cabang bru blokir bank baik;3;2
770;yang ulang temu susah saing repot pulsa mau masuk krn kalau internet gaji data bukan biar banget baik aktivasi;3;1
771;yang manfaat ber bagus aplikasi;0;5
772;udah sumsel solusi selalu padahal lancar hari gagal dong belum beberapa babel aplikasi aktivasi aja;3;3
773;login;3;1
774;bagus;1;5
775;user tidak selalu pulsa parah nomor ngabisin nali minta mbanking mau kali itnya hubung hp center call blokir bilang aplikasi aktivasi akhir ak;3;1
776;terus hapus guna eror;3;1
777;uang tetap tampil sumsel saldo rb qris pesan pakai kurang hampir eror bayar aja;3;1
778;ulang transaksi padahal otp nunggu muncul lama kode kan jga jadi hambat gak baik bahkan;3;2
779;transaksi sumsel mudah lebih bsb babel alhamdulillah;1;5
780;tpi top tidak sinyal lancar gopay;3;1
781;semua saldo hilang dikit;3;1
782;susah sering sekali sangat pa nya menu login lambat bug baik aplikasi ak;3;2
783;ujung suruh sedia parah nya nih masalah malah login kok kena blokir bener bank aktivasi;3;1
784;baik;2;5
785;via tinggal susah sistem sangat online melulu kartu kantor jauh ini harus ganti buka blokir bank baik aplikasi aktivasi;0;1
786;eror;3;1
787;ulang ujung suruh pihak mau masuk malah jadi developer bolak blokir bank balik baik aplikasi aktivasi;3;1
788;udah tidak semua padahal masuk;3;1
789;walaupun uang sekali sedikit pikir mending kembali kalian jadi hilang ganti bank;3;1
790;ulang tiap temu sm sekali padahal masuk kode data capek buka bug banyak aplikasi aktivasi aj;3;1
791;yang udah susah stabil soal sini sih sangat punya mudah mobile menu login lah kelas bug banking bank aplikasi ak aja;0;1
792;yang ulang tidak sudah ribet paling lah diaktivasi cek banking bank aktivasi ada;3;1
793;transaksi terimakasih laku cukup bantu;1;5
794;tiba mau jadi ini ganti blokir bank ala;3;1
795;waktu tidak susah login ini biar baik aplikasi;0;1
796;transaksi teblokir salah otpnya nomor mau lot langsung lama kirim kalau aplikasi;3;1
797;tidak selalu otp masuk ganggu aplikasi;0;1
798;sangat muas;1;5
799;ulang terus suruh sudah registrasi dikit blokir bank;3;1
800;udah tiap tetap terang suka sendiri selalu sedia nomor mau kirim jelas gak gabisa bener aplikasi aktivasi aja;3;1
801;yang transfer tanggung sekarang sekali sama saldo potong pertama mending jelas jawab jadi gin gimana gak error bankingnya atmnya app;3;1
802;ulang terus susah minta masukin login akun aktivitas aj;3;1
803;ulang si parah mau malah aktivasi;3;1
804;selalu mau login dulu baru;3;2
805;yang ujung transaksi suruh sudah sedang salah pulsa pin perlu padahal nya mau layan kata kalo jam gak gagal email dekat datang center cabang blokir bener banyak ala abis;3;1
806;skrg sering kenapa baru aplikasi;0;1
807;susah masuk lelet gak banget baik aplikasi;0;1
808;ulang terus terlalu terang suka silah sering sendiri sama registrasi padahal nomor minta mau malah login jadi hp daftar blokir apa aktivasi;3;1
809;ulang tulis muncul mbanking masak kemudian kantor jadi gimana daftar buka blokir beberapa baru bank akun aktivasi;3;1
810;minta ku jaring gara blokir baik akun;3;1
811;temu sangat sama padahal ny manfaat kok id daftar awal aplikasi;0;1
812;udah tinggal suruh sama rek nomor mobile masuk masa malah lain jauh gak bank baik aplikasi aneh;0;1
813;tim terimakasih segera saran sama pihak pake nyaman mohon guna dpt dn dari bank;3;3
814;layan bagus;1;4
815;terus selalu login gagal banyak baik aktivasi;3;2
816;uang transfer tolak tarik sering seluruh sangat rugi rasa pindah pakai mending masuk lengkap langsung lama kena kembali kalo kalian jangan ganggu gaji gagal fitur center call bsb biaya bata bank bahkan atm aplikasi antar aja;0;1
817;tidak tiba suruh sesuai sedia rek nomor jelas gak gagal bukak aplikasi aktivasi;3;1
818;temu nasabah mau login ini banget aplikasi aneh;0;1
819;;3;
820;tingkat terlalu saing perban online offline maupun layan lain jauh jangan baik;3;2
821;tidak sim sering lah kacau card blokir aplikasi;3;1
822;bagus;1;4
823;yang ujung transaksi sulit ribet prose nasabah mau kendala kapan kantor era digital cabang benah banyak akun aktivasi;3;1
824;tolong terus sih salah nomor malah kudu kenapa kata ganti gak baik aktivasi;3;1
825;transaksi tiba terlalu sering koneksi eror data aktifasi;3;1
826;;3;
827;ulang tiba suka sih minta blokir aktivasi;3;1
828;transaksi praktis cepat;1;5
829;transaksi sangat mudah;1;5
830;good;1;5
831;pernah mobile buruk bank app;3;1
832;suka;3;5
833;transaksi token sangat listrik kalau beli baik alam;1;5
834;update tiap slalu bulan;3;3
835;app;3;1
836;uang tidak saldo narik keluar error duit bank;3;1
837;sering salah paling padahal mbanking blokir;3;1
838;transfer sm ribet mohon mau kena cek bolak biaya balik baik;3;3
839;oke keren;3;4
840;selalu minta login kalau;3;1
841;tingkat perlu;3;4
842;yang transaksi tetap tanggung sesuai sampah saldo qris pihak nominal mohon mandiri kurang jt jawab jangan hapus guna gagal enak bri bca bayar bank;3;1
843;good;1;5
844;transfer transaksi mudah;1;5
845;waktu transaksi tinggal tim super perban masuk malam lot lihat keluar kalau jauh itnya gak bank baik app aplikasi;3;2
846;transfer saldo masuk kurang gila gak dasar;3;1
847;terimakasih;3;5
848;tiap suruh masak kali bukak blokir baik aplikasi aktivasi;3;1
849;ulang tingkat tidak terus minta mau masa malah login dulu bolak blokir bank banget balik aktivasi aja;3;1
850;tambah saran mudah log kan fitur ak;3;5
851;oke banget;3;5
852;transaksi sering lelet jaring banking;3;3
853;update semua moga kendala keluh hari atas app;3;4
854;tingkat layan kualitas bsb;3;4
855;update terus sudah mnta minggu lagi kemarin;3;4
856;praktis aman;3;5
857;siap sering eror aplikasi;0;1
858;wifi sinyal pakai koneksi bilang aplikasi aneh;0;1
859;sangat jelek aplikasi;0;1
860;ulang suruh sangat pa malah jd habis guna ganggu gak error diupdate diaktivasi buka aplikasi aktivasi;0;1
861;yang ulang payah blokir aktifasi;3;1
862;yang urus ulang tranfer terus sumsel sudah sama rb pilih parah paksa padahal msh mau log lewat lbh lalu lagi krn kena kalau hr gaji dn deh blokir biaya baru banyak bank aktivasi aja;3;1
863;ulang tlg tahu sumsel saldo rugi pulsa otomatis nasabah masuk kurang kok kode isi gak dong dengan cek beli bayar baru bank babel aplikasi admin;3;2
864;baik aplikasi;2;1
865;user terus mohon malah jelas dak blokir baik aplikasi anehh aktivasi;0;1
866;udah uang tranfer tiap terus tanggung sumpah solusi sama saldo rb pulsa paket padahal mohon masuk malah maaf lebih kurang kecewa kayak kata kali kalau jawab hilang gin gimana gak error enak cek bulan bsb beri beli banget aplikasi aku;3;1
867;orang jg ganti gak;3;1
868;tinggal mobile langsung lalu laku jauh daftar bankingnya bank android;3;3
869;suruh sedia mau aktivasi;3;1
870;transaksi selalu otp lambat keluar hari baru;3;2
871;susah server mau login bener;3;1
872;tidak sedia pdhl blokir aktivasi;3;1
873;ujung transaksi terus sering sedia pakai mau malah makan baik aktivasi;3;2
874;tidak temu nasabah mau malah log dasar aplikasi apa;0;1
875;terang sering pdhal mau lancar jaya guna eror buka baik aplikasi;0;2
876;coba buat bener aplikasi;0;1
877;ulang selalu registrasi minta mbanking malah bulan buka blokir bank;3;1
878;walaupun sinyal selalu sekali masuk ganggu bagus;3;1
879;transaksi selalu rekening pulsa muncul mau izin isi hari gimana;3;2
880;transfer tingkat tiap soal mau layan kalau bankingnya bank aman aja;3;1
881;waktu ulang pa malah login aplikasi aktivasi;3;1
882;user terus gagal blokir aktivasi;3;1
883;tak guna aplikasi;0;1
884;ulang temu selalu sekali padahal muncul minta masuk gagal data butuh bulan bsb aplikasi aktivasi ak;3;1
885;sampah rugi nasabah bnyak baik aplikasi;0;1
886;tinggal pihak pakai lh kait jauh fiturnya fitur belah bank baik aplikasi;0;1
887;terus tau sangat sama mulai moga masalah malah lebih keluh depan buat bobrok banyak bagus aplikasi aneh aktivasi;0;1
888;aktivasi;3;1
889;terus telpon punya pin padahal pa masalah kata gx blokir benar;3;2
890;transaksi sangat perlu bank aman;1;5
891;sangat bantu atm;1;5
892;ulang terus selalu aktifasi;3;1
893;ulang tidak tiba suruh sudah sedia mau masuk malah gilir bank aplikasi apa aktivasi;0;1
894;sumsel selalu sama padahal minta masa kalah bukan bank babel aplikasi anehh aktivasi;3;1
895;;3;
896;sangat bantu;1;5
897;udah tidak temu semua selalu padahal nasabah mau login depan bener baik;3;1
898;ulang suruh padahal pa malah jelek gak data dasar blokir bener aplikasi aktivasi;0;1
899;ulang selalu sama mohon laku kemaren jadi bos baru baik aktivasi;3;2
900;tidak aplikasi;0;1
901;mau buruk blokir baru aktivitas aja;3;1
902;untuk udah transaksi tingkat ribet perlu kualitas kena kali jauh jadi hambat dengan blokir bank aplikasi;0;1
903;sangat buruk;1;1
904;sangat bantu;1;5
905;sampah aplikasi;0;1
906;ulang sekarang padahal minta lalu bulan benar baru aplikasi aktivasi;3;1
907;baik;2;4
908;yang wa urus uang transaksi tiap tapi susah selalu rb pulsa potong online nya nasabah mudah masuk mana link langsung gak dengan coba biar beli app;3;1
909;ulang tolong sering sangat pihak ngantri minta mau male malah kembang kecewa kalo gilir buruk bolak blokir bank balik baik aktivasi;3;1
910;uang transaksi semua kait ak;3;1
911;yang udah sama salah parah lihat jelas gak dengan bug blokir bank banget aplikasi aneh akun;3;1
912;ulang tingkat mau mana login bagai aktivasi;3;1
913;ulang udah suruh pernah padahal pa mau malah login lagi keluar buat blokir bintang aplikasi aktivasi;3;1
914;ulang terus sistem mohon mau login kali blokir baik aktivitas aja;3;1
915;yang ulang tetap sering login kendala jadi gagal aktivasi;3;2
916;ulang udah tiba rekening pa nomor minta mau kartu jadi isi gimana buka blokir aktivasi;3;1
917;ulang sudah sering selalu periksa pakai pa ngurus mohon login kendala kali jadi ini hampir gak diaktivasi bulan bsb blokir banget aplikasi aktivasi;0;1
918;uang transfer tingkat tapi smga prose ny lbh lagi bagus;3;5
919;tingkat percaya orang makin lot kok gin gak buat aplikasi aja;0;2
920;tambah sering selalu rumah padahal minta mau male lumayan log jauh jadi error bolak bank balik baik aplikasi aktivasi;3;2
921;update selalu minta;3;5
922;mantab;3;5
923;aplikasi;0;1
924;terus pa malah jelas aktivasi;3;1
925;transfer sih rekening nomor mulu mau daftar baik;3;2
926;sistem selalu error baik aktivasi;2;1
927;jelek dong banget baik;2;1
928;ulang transfer tidak susah suruh sih pa nya mau malah login kalo jelas jadi gmn gitu gimana dong app aktivasi;3;1
929;sistem sekali sama saldo rugi rekening pulsa nasabah mohon mbanking masuk lalu kurang kali jangan error beli baik;3;1
930;yang via udah telpon simcard pihak perangkat mesti mbanking masa lepas kata kartu jadi hp harus ganti gak developer daftar contoh blokir akun aja;3;2
931;yang transfer tingkat tanya tahu sim sangat registrasi paksa paket pakai orang minta krn kirim kata kartu kali jadi hari habis gitu ganti gak data blokir bbrp bank aplikasi aku;3;2
932;tetap tambah sekarang salah password padahal otp mpin maupun lain kantor kali cabang blokir baik bagus aplikasi;3;1
933;tau sm sering sendiri salah registrasi padahal otp mau kode henti error aplikasi;3;1
934;tengah tanggal susah mau lot login lelet gaji bulan awal aplikasi apa;3;5
935;sering sangat layan jauh harap beri baca;1;1
936;ulas ulang transfer tolong tidak terus sering rek minta masa malah kena kalian kalau iya guna gaji diaktivasi bukan buka buat blokir bikin bank bakal baca aplikasi aktivasi;3;1
937;tpi tiap pegawai pakek mau langsung kena kalian kalau jangan gaji buka bikin atm aplikasi aja;0;1
938;;3;
939;ulang temu sedia salah pernah payah kode data blokir aktivasi;3;1
940;waktu ulang ujung transfer terus terang suruh skrg sekali sangat penting nya minta lewat lanjut lama kantor kalau gaji dlm buang bsb blokir banking bank aplikasi aktivasi aktifitas;3;1
941;udah tidak sim nasabah mbanking kartu gin dulu cuman blokir bank aplikasi;3;1
942;tabung selalu saldo pulsa parah padahal ngisi masuk masa lebih kurang hari dah baik;3;2
